,time,lat,lon,observation_T,fitting,no_fitting
2905,2017/11/4 15:44,42.87996,-70.52208,7,7.157173441,
2911,2017/11/7 16:49,42.84599,-70.55366,11.5,7.216768334,
2912,2017/11/7 18:33,42.83129,-70.5654,6.6,7.443613727,
2961,2017/11/12 20:50,42.82115,-70.69702,8.83,9.679639305,
2971,2017/11/15 15:29,42.74956,-70.6316,8.96,9.562106463,
2974,2017/11/15 17:20,42.79811,-70.67318,8.91,9.747585432,
3344,2018/3/12 17:01,42.83928,-70.39028,5.48,4.315637416,
3363,2018/3/20 20:01,42.88163,-70.74955,4.3,3.543101012,
3392,2018/3/31 13:42,42.78759,-70.34546,9.25,4.25129366,
3393,2018/3/31 17:38,42.84382,-70.43157,4.75,4.303731938,
3434,2018/4/11 15:52,42.7573,-70.3119,4.78,4.958842135,
3437,2018/4/11 19:44,42.76349,-70.57345,4.88,5.374728422,
3439,2018/4/19 18:59,42.66123,-70.38898,5.01,5.12101573,
3453,2018/4/21 20:33,42.86267,-70.75558,4.72,4.79701084,
3468,2018/4/22 20:11,42.86756,-70.76318,4.72,5.012562352,
3476,2018/4/23 19:24,42.83003,-70.67157,4.79,4.864821968,
3492,2018/4/26 17:34,42.87771,-70.55553,0.86,5.487077743,
3510,2018/4/27 18:52,42.86505,-70.75294,8.92,4.798634331,
3514,2018/4/30 19:14,42.85345,-70.72417,4.76,4.446930492,
3531,2018/5/2 17:20,41.45459,-70.25804,9.17,8.737891421,
3544,2018/5/8 11:44,41.02687,-71.37946,5.68,5.191219485,
3545,2018/5/8 12:52,41.03516,-71.37324,5.68,5.204280869,
3546,2018/5/8 14:17,40.99908,-71.38809,5.68,5.188112067,
3547,2018/5/8 16:53,41.00101,-71.38704,5.69,5.202006559,
3548,2018/5/8 18:10,41.02705,-71.37536,5.68,5.210066597,
3549,2018/5/8 20:24,41.06099,-71.37008,5.68,5.249944487,
3551,2018/5/10 11:01,42.43786,-70.34424,5.04,5.433138266,
3552,2018/5/10 12:20,40.99174,-71.45742,5.84,5.184473743,
3553,2018/5/10 12:29,41.45335,-70.26162,11.15,11.0725137,
3554,2018/5/10 13:37,40.97345,-71.46106,5.81,5.173817568,
3555,2018/5/10 14:41,40.97645,-71.46098,5.8,5.182102501,
3556,2018/5/10 15:36,42.49894,-70.40681,5.05,5.450048968,
3557,2018/5/10 15:55,40.977,-71.48572,5.83,5.159549059,
3558,2018/5/10 20:33,41.05725,-71.44641,5.67,5.235022468,
3559,2018/5/12 11:09,42.43887,-70.40314,4.87,5.41390752,
3560,2018/5/12 15:34,42.49988,-70.45773,4.87,5.357239282,
3561,2018/5/14 8:36,42.412,-70.47436,5.17,5.541357972,
