,time,lat,lon,observation_T,Doppio_T,GoMOLFs_T,FVCOM_T,Clim_T,obj,eq
0,2019/1/2 15:17,42.7511,-70.2925,7.52,8.229907851,8.635256123,9.157155037,6.7054,8.425520453,8.674106337
1,2019/1/2 18:22,42.65688,-70.38548,7.34,7.946587541,8.560848782,8.576174736,6.8006,8.10790632,8.361203686
2,2019/1/4 14:04,41.04746,-71.43832,9.76,9.414346954,8.408904629,9.695867538,7.878,8.742505314,9.173039707
3,2019/1/4 17:06,41.0862,-71.56846,9.72,9.476889256,7.604712944,9.231835365,6.4605,8.261268827,8.771145855
4,2019/1/5 12:16,42.70602,-70.31587,7.38,8.113662983,8.400804226,9.394662857,6.9986,8.42768289,8.636376689
5,2019/1/5 17:21,42.64644,-70.40715,7.33,7.69310052,8.543071953,8.483574867,6.6025,8.026062952,8.23991578
6,2019/1/13 9:57,42.76492,-70.25806,6.45,7.948276225,7.937301099,9.287662506,6.7835,8.191586612,8.391079943
7,2019/1/13 11:35,42.76025,-70.27847,6.38,7.966198222,7.413785956,9.214675903,5.937,7.974213555,8.198220027
8,2019/1/13 13:32,42.76684,-70.25353,6.36,7.918028561,7.921257779,9.541258812,6.7835,8.291277748,8.460181717
9,2019/1/13 15:15,42.73575,-70.25004,6.43,8.00133275,8.066970176,9.168665886,6.7835,8.19416877,8.412322937
10,2019/1/14 9:59,42.76012,-70.25965,6.7,7.865599796,7.693278681,9.267798424,6.7446,8.083675357,8.275558967
11,2019/1/14 12:01,42.75663,-70.28188,6.62,7.87725213,7.450409773,9.199311256,5.8675,7.96832085,8.17565772
12,2019/1/14 13:45,42.74638,-70.29626,6.18,7.904021577,7.301439873,7.88066864,5.8675,7.348133995,7.695376697
13,2019/1/15 11:01,42.69652,-70.33239,6.66,7.217289752,7.126310319,8.659553528,5.7238,7.526127126,7.667717866
14,2019/1/15 14:13,42.75536,-70.28366,6.57,7.72426535,7.359802925,9.079149246,5.7983,7.862393591,8.05440584
15,2019/1/15 15:25,42.75874,-70.28952,6.32,7.610469208,7.238865617,8.273153305,5.7983,7.454391542,7.707496043
16,2019/1/15 17:29,42.68373,-70.36312,6.18,7.237848172,7.07434612,8.173334122,5.7238,7.300006361,7.495176138
17,2019/1/26 11:58,42.77047,-70.25139,6.15,6.981533098,7.692331923,8.121732712,6.2494,7.464183492,7.598532578
18,2019/1/26 15:08,42.70804,-70.32136,5.49,6.105035843,6.705127595,7.485361099,6.0035,6.711446981,6.765174846
19,2019/1/26 17:46,42.70512,-70.32559,6.03,6.116077736,6.675547809,7.38151598,4.9541,6.657433896,6.724380508
20,2019/1/26 19:54,42.68889,-70.33261,6.07,5.995878521,6.722415718,7.483405113,4.9541,6.701576434,6.733899784
21,2019/2/2 12:48,42.75073,-70.29259,5.36,5.849024169,6.279355771,7.940478802,4.6403,6.719395398,6.689619581
22,2019/2/2 14:51,42.7475,-70.29197,5.29,5.808580155,6.29933334,8.001533508,4.6403,6.747341025,6.703149001
23,2019/2/2 16:59,42.69607,-70.33643,5.39,5.436395616,6.360261082,8.08979702,4.5144,6.75545952,6.628817906
24,2019/2/3 12:41,42.7483,-70.26439,4.95,5.88207738,7.509992086,9.378298759,5.9065,7.788556318,7.590122742
